county,Sanders,Biden,combined
KEWEENAW,306,464,770
LUCE,322,562,884
OSCODA,406,892,1298
BARAGA,560,882,1442
ONTONAGON,542,958,1500
MONTMORENCY,486,1168,1654
SCHOOLCRAFT,558,1146,1704
MISSAUKEE,690,1276,1966
ALCONA,614,1484,2098
LAKE,664,1518,2182
ALGER,902,1538,2440
MACKINAC,958,1614,2572
IRON,918,1752,2670
CRAWFORD,988,1782,2770
ARENAC,936,2034,2970
PRESQUE ISLE,846,2212,3058
OSCEOLA,1142,1936,3078
KALKASKA,1274,1884,3158
OGEMAW,1244,2366,3610
GOGEBIC,1252,2512,3764
MENOMINEE,1240,2638,3878
GLADWIN,1318,2982,4300
CHEBOYGAN,1606,3076,4682
DICKINSON,1742,3036,4778
OCEANA,1710,3098,4808
OTSEGO,1954,2860,4814
ROSCOMMON,1624,3300,4924
IOSCO,1512,3462,4974
CLARE,1902,3136,5038
HURON,1738,3530,5268
BRANCH,1962,3412,5374
HILLSDALE,2164,3550,5714
SANILAC,2028,3702,5730
ANTRIM,2438,3742,6180
MANISTEE,2376,3858,6234
WEXFORD,2620,3616,6236
CHIPPEWA,2652,3634,6286
GRATIOT,2500,4182,6682
CHARLEVOIX,2688,4240,6928
ALPENA,2370,4740,7110
MASON,2608,4538,7146
DELTA,2604,4634,7238
MECOSTA,3208,4246,7454
BENZIE,3204,4258,7462
NEWAYGO,3014,4820,7834
CASS,2528,5814,8342
HOUGHTON,4010,4342,8352
ST. JOSEPH,3426,5068,8494
TUSCOLA,3092,5562,8654
LEELANAU,3776,6154,9930
EMMET,4198,5886,10084
MONTCALM,4130,6000,10130
IONIA,4286,5856,10142
BARRY,4648,6834,11482
ISABELLA,6842,7334,14176
SHIAWASSEE,6144,9620,15764
VAN BUREN,6394,9724,16118
LAPEER,6326,9816,16142
LENAWEE,7692,11482,19174
MIDLAND,7864,12604,20468
CLINTON,7588,13420,21008
MARQUETTE,10034,11946,21980
ALLEGAN,9678,15144,24822
CALHOUN,9884,15092,24976
BAY,10092,15986,26078
JACKSON,11728,17006,28734
GD. TRAVERSE,13628,16970,30598
MONROE,11554,19070,30624
EATON,12176,18488,30664
ST. CLAIR,13256,19120,32376
BERRIEN,11408,22298,33706
MUSKEGON,17134,26042,43176
LIVINGSTON,19364,28694,48058
SAGINAW,17012,33418,50430
OTTAWA,27344,35712,63056
KALAMAZOO,41586,45646,87232
INGHAM,49404,52752,102156
GENESEE,41576,75116,116692
WASHTENAW,92134,97556,189690
MACOMB,88342,132136,220478
KENT,191426,95008,286434
OAKLAND,173332,290816,464148
WAYNE,226834,345180,572014
